Year,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50
1992,United States,Germany,Italy,Japan,China,Brazil,Austria,Belgium,Spain,South Korea,Israel,Portugal,Sweden,France,United Kingdom,Switzerland,Czech Republic,Finland,Hungary,Canada,Australia,Denmark,Russia,Turkey,Netherlands,Serbia,Cyprus,Philippines,Argentina,India,Mexico,Norway,Singapore,Poland,Greece,Taiwan,South Africa,Romania,Lebanon,Bulgaria,Bosnia,Pakistan,Indonesia,Thailand,Iran,Slovakia,Croatia,Ukraine,Iraq,Ivory Coast
1993,United States,China,Italy,Germany,Japan,Brazil,Austria,Belgium,Sweden,Spain,United Kingdom,Czech Republic,Israel,Russia,Switzerland,Portugal,Norway,South Korea,Finland,Canada,France,Hungary,Netherlands,Australia,Turkey,Cyprus,Argentina,Denmark,Philippines,Poland,Mexico,Thailand,Greece,Singapore,Romania,Bulgaria,South Africa,Ukraine,Taiwan,India,Indonesia,Croatia,Pakistan,Slovakia,Serbia,Bosnia,Iraq,Lebanon,Ivory Coast,Iran
1994,United States,Italy,Germany,China,Japan,Austria,Brazil,Russia,Belgium,Israel,South Korea,Czech Republic,Spain,France,Sweden,United Kingdom,Portugal,Finland,Canada,Norway,Switzerland,Hungary,Netherlands,Australia,Argentina,Philippines,Cyprus,Mexico,Poland,Turkey,South Africa,Slovakia,Pakistan,Bosnia,Denmark,Bulgaria,India,Indonesia,Greece,Singapore,Romania,Ukraine,Taiwan,Serbia,Croatia,Lebanon,Thailand,Iran,Ivory Coast,Iraq
1995,United States,Italy,Germany,Japan,Austria,Brazil,Belgium,Czech Republic,United Kingdom,Spain,Israel,Sweden,South Korea,Canada,China,Finland,Russia,Switzerland,France,Norway,Portugal,Australia,South Africa,Indonesia,Hungary,Denmark,Netherlands,Romania,India,Philippines,Singapore,Cyprus,Argentina,Mexico,Turkey,Taiwan,Poland,Ukraine,Bulgaria,Slovakia,Greece,Lebanon,Serbia,Pakistan,Thailand,Croatia,Bosnia,Iraq,Ivory Coast,Iran
1996,Italy,United States,Germany,Austria,Belgium,Brazil,Japan,Czech Republic,United Kingdom,France,Spain,Canada,Russia,Sweden,Switzerland,Finland,Portugal,Norway,South Korea,China,Hungary,South Africa,India,Israel,Indonesia,Serbia,Turkey,Netherlands,Australia,Argentina,Bulgaria,Mexico,Cyprus,Philippines,Romania,Singapore,Pakistan,Poland,Thailand,Ukraine,Denmark,Greece,Slovakia,Bosnia,Taiwan,Croatia,Lebanon,Ivory Coast,Iraq,Iran
1997,Italy,United States,Germany,Austria,Brazil,Belgium,South Korea,Czech Republic,Japan,Spain,United Kingdom,Canada,Sweden,Finland,Russia,Netherlands,France,Switzerland,China,Portugal,Norway,Hungary,Israel,Bulgaria,South Africa,Mexico,Cyprus,Romania,Turkey,India,Argentina,Australia,Serbia,Philippines,Greece,Poland,Slovakia,Singapore,Ukraine,Denmark,Bosnia,Taiwan,Indonesia,Croatia,Lebanon,Thailand,Iran,Ivory Coast,Iraq,Pakistan
1998,Italy,United States,Germany,Austria,Belgium,Brazil,South Korea,Czech Republic,Canada,Japan,United Kingdom,Spain,Russia,Sweden,France,Switzerland,Finland,Portugal,Norway,China,South Africa,Israel,Mexico,Hungary,Turkey,Cyprus,Australia,Netherlands,Serbia,Argentina,Philippines,Bulgaria,Greece,Bosnia,Romania,Ukraine,Slovakia,Denmark,India,Poland,Croatia,Taiwan,Indonesia,Singapore,Pakistan,Thailand,Lebanon,Iraq,Ivory Coast,Iran
1999,Italy,United States,Germany,Austria,Brazil,Russia,Belgium,Czech Republic,Canada,Japan,United Kingdom,Spain,Switzerland,South Korea,Finland,South Africa,Sweden,Portugal,Israel,Norway,France,Romania,Netherlands,China,Turkey,Hungary,Bosnia,Mexico,Australia,Philippines,Argentina,Cyprus,Bulgaria,Slovakia,Greece,Serbia,Singapore,India,Denmark,Croatia,Poland,Taiwan,Iran,Ukraine,Indonesia,Thailand,Lebanon,Pakistan,Ivory Coast,Iraq
2000,Italy,United States,Germany,Austria,Brazil,Belgium,Russia,Japan,Czech Republic,United Kingdom,Canada,Spain,Sweden,Switzerland,South Korea,Portugal,Finland,South Africa,France,Israel,Slovakia,Turkey,Hungary,Norway,Philippines,Bosnia,Mexico,China,Netherlands,Australia,Argentina,Cyprus,Romania,Bulgaria,Greece,Serbia,Ukraine,Croatia,Denmark,Taiwan,India,Indonesia,Poland,Iran,Singapore,Thailand,Pakistan,Lebanon,Iraq,Ivory Coast
2001,Italy,United States,Germany,Austria,Brazil,Belgium,Czech Republic,United Kingdom,Russia,Japan,Finland,Canada,Switzerland,Spain,Portugal,Sweden,France,Turkey,Norway,South Africa,Israel,South Korea,Hungary,Australia,China,Greece,Cyprus,Philippines,Argentina,Romania,Bosnia,Mexico,Slovakia,Singapore,Serbia,Bulgaria,Netherlands,Croatia,Ukraine,Denmark,Iran,India,Thailand,Poland,Taiwan,Indonesia,Ivory Coast,Lebanon,Pakistan,Iraq
2002,Italy,United States,Germany,Brazil,Austria,United Kingdom,Czech Republic,Canada,Russia,Belgium,Norway,Switzerland,France,Spain,Japan,Finland,Turkey,Israel,Portugal,Sweden,China,Hungary,Australia,South Africa,Serbia,Argentina,Greece,Romania,Croatia,Cyprus,Philippines,South Korea,Bosnia,India,Slovakia,Netherlands,Iran,Mexico,Bulgaria,Singapore,Denmark,Indonesia,Ukraine,Poland,Taiwan,Pakistan,Thailand,Lebanon,Iraq,Ivory Coast
2003,Italy,United States,Germany,Austria,Norway,Brazil,Canada,Belgium,Czech Republic,Turkey,Russia,France,Switzerland,Japan,Spain,United Kingdom,Finland,Portugal,Sweden,South Korea,Romania,Israel,Australia,China,Bosnia,Croatia,Hungary,Cyprus,Argentina,Poland,South Africa,Philippines,Serbia,India,Mexico,Denmark,Slovakia,Netherlands,Ukraine,Bulgaria,Greece,Indonesia,Pakistan,Singapore,Thailand,Taiwan,Iran,Lebanon,Ivory Coast,Iraq
2004,Italy,United States,Germany,Austria,Brazil,United Kingdom,Canada,France,Belgium,Czech Republic,Japan,Turkey,Spain,Russia,Switzerland,Finland,Thailand,China,Ivory Coast,Serbia,Sweden,Norway,Portugal,Israel,South Korea,Croatia,Australia,Bosnia,Romania,Cyprus,Argentina,South Africa,Hungary,Ukraine,Philippines,Netherlands,Mexico,Poland,Denmark,Greece,Pakistan,Bulgaria,Slovakia,India,Taiwan,Singapore,Lebanon,Iran,Indonesia,Iraq
2005,Italy,United States,Germany,Austria,Brazil,Belgium,United Kingdom,Canada,Russia,Czech Republic,Finland,Japan,Switzerland,Spain,Turkey,Poland,Serbia,Sweden,Norway,Portugal,France,Slovakia,Croatia,South Korea,Ivory Coast,Israel,Australia,Bosnia,Ukraine,Netherlands,Romania,China,Argentina,Hungary,Greece,Cyprus,South Africa,Philippines,Denmark,Mexico,Thailand,Indonesia,Pakistan,India,Bulgaria,Singapore,Taiwan,Iran,Lebanon,Iraq
2006,Italy,United States,United Kingdom,Germany,Austria,Brazil,Belgium,Canada,Russia,Czech Republic,Finland,Turkey,Switzerland,Japan,Spain,Poland,Romania,Croatia,Ukraine,Sweden,Bulgaria,Israel,Serbia,Slovakia,France,Portugal,China,Norway,South Korea,Australia,Bosnia,Hungary,Cyprus,Thailand,Argentina,Denmark,Philippines,Greece,Taiwan,Singapore,South Africa,Mexico,Pakistan,India,Ivory Coast,Netherlands,Indonesia,Iran,Lebanon,Iraq
2007,Italy,United States,Germany,United Kingdom,Brazil,Austria,Greece,Croatia,Belgium,Czech Republic,Switzerland,Canada,Russia,Turkey,Slovakia,Spain,Poland,Finland,Japan,France,Taiwan,Sweden,Norway,Portugal,Israel,South Korea,Romania,Serbia,China,Bosnia,Ukraine,Australia,Hungary,Argentina,Cyprus,Bulgaria,Denmark,Philippines,South Africa,Mexico,Singapore,Netherlands,India,Indonesia,Pakistan,Thailand,Ivory Coast,Lebanon,Iraq,Iran
2008,Italy,United States,Germany,United Kingdom,Brazil,Switzerland,Austria,South Korea,Russia,Belgium,Czech Republic,Spain,Canada,Philippines,Finland,Japan,Croatia,Sweden,Turkey,Israel,France,Portugal,Norway,Romania,Poland,Serbia,Taiwan,China,Bulgaria,Australia,Bosnia,Argentina,Hungary,Cyprus,Netherlands,Ukraine,Mexico,Denmark,South Africa,Indonesia,Slovakia,India,Greece,Singapore,Pakistan,Thailand,Lebanon,Iraq,Ivory Coast,Iran
2009,United States,Italy,Germany,Brazil,Austria,Russia,Switzerland,Belgium,Spain,South Korea,Czech Republic,Canada,Finland,Japan,Croatia,Israel,Turkey,United Kingdom,Portugal,Serbia,Norway,Sweden,China,Romania,France,Bulgaria,Hungary,Poland,Taiwan,Ukraine,Philippines,Bosnia,Singapore,Argentina,Mexico,Australia,South Africa,Denmark,Cyprus,Greece,Netherlands,Pakistan,India,Slovakia,Indonesia,Thailand,Ivory Coast,Lebanon,Iraq,Iran
2010,United States,Italy,Germany,Brazil,Austria,Russia,South Korea,Switzerland,Belgium,Spain,Israel,Canada,Czech Republic,Turkey,United Kingdom,Sweden,Finland,Japan,Croatia,China,Taiwan,Serbia,Norway,Romania,Portugal,Singapore,France,Philippines,Ukraine,Hungary,Argentina,Cyprus,Mexico,Australia,Indonesia,Bosnia,Denmark,Bulgaria,Poland,South Africa,Slovakia,Pakistan,Greece,India,Netherlands,Lebanon,Iran,Thailand,Ivory Coast,Iraq
2011,United States,Italy,Germany,Austria,Brazil,Switzerland,Russia,South Korea,Czech Republic,Belgium,Spain,Israel,Canada,United Kingdom,Pakistan,Turkey,Croatia,Japan,Finland,France,Sweden,Norway,Bulgaria,China,Ukraine,Portugal,Serbia,Singapore,Taiwan,Philippines,Australia,Romania,Hungary,Argentina,Bosnia,Denmark,Poland,Cyprus,India,Mexico,Slovakia,Greece,South Africa,Indonesia,Netherlands,Lebanon,Thailand,Ivory Coast,Iraq,Iran
