Country1,Continent1,Country2,Continent2,Year,Value
United States,North America,United States,North America,1997,0
United States,North America,Canada,North America,1997,46878158
United States,North America,Mexico,North America,1997,5193266
United States,North America,Brazil,South America,1997,1677156
United States,North America,Argentina,South America,1997,5476552
United States,North America,United Kingdom,Europe,1997,9772430
United States,North America,Netherlands,Europe,1997,2979990
United States,North America,Belgium,Europe,1997,18365632
United States,North America,France,Europe,1997,13792674
United States,North America,Switzerland,Europe,1997,4503999
United States,North America,Spain,Europe,1997,6165915
United States,North America,Portugal,Europe,1997,1614835
United States,North America,Germany,Europe,1997,26128879
United States,North America,Poland,Europe,1997,464656
United States,North America,Austria,Europe,1997,2537774
United States,North America,Hungary,Europe,1997,331101
United States,North America,Czech Republic,Europe,1997,864235
United States,North America,Slovakia,Europe,1997,329999
United States,North America,Italy,Europe,1997,3998836
United States,North America,Croatia,Europe,1997,51335
United States,North America,Serbia,Europe,1997,5357
United States,North America,Bosnia,Europe,1997,8604393
United States,North America,Greece,Europe,1997,5426404
United States,North America,Bulgaria,Europe,1997,94052
United States,North America,Romania,Europe,1997,0
United States,North America,Russia,Asia,1997,1538307
United States,North America,Ukraine,Europe,1997,237597
United States,North America,Finland,Europe,1997,967940
United States,North America,Sweden,Europe,1997,2193762
United States,North America,Norway,Europe,1997,3658894
United States,North America,Denmark,Europe,1997,2104207
United States,North America,South Africa,Africa,1997,4450580
United States,North America,Turkey,Asia,1997,3221011
United States,North America,Iraq,Asia,1997,0
United States,North America,Lebanon,Asia,1997,7727121
United States,North America,Israel,Asia,1997,14083884
United States,North America,Taiwan,Asia,1997,19355335
United States,North America,South Korea,Asia,1997,2173701
United States,North America,Japan,Asia,1997,3974598
United States,North America,India,Asia,1997,154552
United States,North America,Pakistan,Asia,1997,1107469
United States,North America,Thailand,Asia,1997,15587338
United States,North America,Singapore,Asia,1997,1764873
United States,North America,Philippines,Asia,1997,3193750
United States,North America,Indonesia,Asia,1997,91591
United States,North America,Australia,Oceania,1997,18413768
United States,North America,Cyprus,Europe,1997,113094
United States,North America,China,Asia,1997,25939
United States,North America,Ivory Coast,Africa,1997,21804
United States,North America,Iran,Asia,1997,0
Canada,North America,United States,North America,1997,18843931
Canada,North America,Canada,North America,1997,0
Canada,North America,Mexico,North America,1997,0
Canada,North America,Brazil,South America,1997,375319
Canada,North America,Argentina,South America,1997,32027
Canada,North America,United Kingdom,Europe,1997,2573643
Canada,North America,Netherlands,Europe,1997,27786
Canada,North America,Belgium,Europe,1997,759872
Canada,North America,France,Europe,1997,247416
Canada,North America,Switzerland,Europe,1997,1237180
Canada,North America,Spain,Europe,1997,53015
Canada,North America,Portugal,Europe,1997,221745
Canada,North America,Germany,Europe,1997,705735
Canada,North America,Poland,Europe,1997,0
Canada,North America,Austria,Europe,1997,44874
Canada,North America,Hungary,Europe,1997,0
Canada,North America,Czech Republic,Europe,1997,92421
Canada,North America,Slovakia,Europe,1997,27883
Canada,North America,Italy,Europe,1997,98783
Canada,North America,Croatia,Europe,1997,0
Canada,North America,Serbia,Europe,1997,0
Canada,North America,Bosnia,Europe,1997,0
Canada,North America,Greece,Europe,1997,15572
Canada,North America,Bulgaria,Europe,1997,0
Canada,North America,Romania,Europe,1997,0
Canada,North America,Russia,Asia,1997,0
Canada,North America,Ukraine,Europe,1997,0
Canada,North America,Finland,Europe,1997,66059
Canada,North America,Sweden,Europe,1997,54099
Canada,North America,Norway,Europe,1997,928387
Canada,North America,Denmark,Europe,1997,9172893
Canada,North America,South Africa,Africa,1997,0
Canada,North America,Turkey,Asia,1997,74284
Canada,North America,Iraq,Asia,1997,0
Canada,North America,Lebanon,Asia,1997,0
Canada,North America,Israel,Asia,1997,73937
Canada,North America,Taiwan,Asia,1997,0
Canada,North America,South Korea,Asia,1997,5108
Canada,North America,Japan,Asia,1997,0
Canada,North America,India,Asia,1997,0
Canada,North America,Pakistan,Asia,1997,0
Canada,North America,Thailand,Asia,1997,504526
Canada,North America,Singapore,Asia,1997,76307
Canada,North America,Philippines,Asia,1997,209808
Canada,North America,Indonesia,Asia,1997,0
Canada,North America,Australia,Oceania,1997,207231
Canada,North America,Cyprus,Europe,1997,0
Canada,North America,China,Asia,1997,0
Canada,North America,Ivory Coast,Africa,1997,0
Canada,North America,Iran,Asia,1997,0
Mexico,North America,United States,North America,1997,4334352
Mexico,North America,Canada,North America,1997,2861
Mexico,North America,Mexico,North America,1997,0
Mexico,North America,Brazil,South America,1997,0
Mexico,North America,Argentina,South America,1997,1190147
Mexico,North America,United Kingdom,Europe,1997,3652
Mexico,North America,Netherlands,Europe,1997,0
Mexico,North America,Belgium,Europe,1997,35507
Mexico,North America,France,Europe,1997,197306
Mexico,North America,Switzerland,Europe,1997,0
Mexico,North America,Spain,Europe,1997,1130237
Mexico,North America,Portugal,Europe,1997,0
Mexico,North America,Germany,Europe,1997,337172
Mexico,North America,Poland,Europe,1997,0
Mexico,North America,Austria,Europe,1997,343409
Mexico,North America,Hungary,Europe,1997,0
Mexico,North America,Czech Republic,Europe,1997,0
Mexico,North America,Slovakia,Europe,1997,0
Mexico,North America,Italy,Europe,1997,0
Mexico,North America,Croatia,Europe,1997,0
Mexico,North America,Serbia,Europe,1997,0
Mexico,North America,Bosnia,Europe,1997,0
Mexico,North America,Greece,Europe,1997,0
Mexico,North America,Bulgaria,Europe,1997,0
Mexico,North America,Romania,Europe,1997,0
Mexico,North America,Russia,Asia,1997,0
Mexico,North America,Ukraine,Europe,1997,0
Mexico,North America,Finland,Europe,1997,114213
Mexico,North America,Sweden,Europe,1997,0
Mexico,North America,Norway,Europe,1997,0
Mexico,North America,Denmark,Europe,1997,0
Mexico,North America,South Africa,Africa,1997,0
Mexico,North America,Turkey,Asia,1997,0
Mexico,North America,Iraq,Asia,1997,0
Mexico,North America,Lebanon,Asia,1997,0
Mexico,North America,Israel,Asia,1997,0
Mexico,North America,Taiwan,Asia,1997,0
Mexico,North America,South Korea,Asia,1997,0
Mexico,North America,Japan,Asia,1997,0
Mexico,North America,India,Asia,1997,0
Mexico,North America,Pakistan,Asia,1997,0
Mexico,North America,Thailand,Asia,1997,0
Mexico,North America,Singapore,Asia,1997,0
Mexico,North America,Philippines,Asia,1997,0
Mexico,North America,Indonesia,Asia,1997,0
Mexico,North America,Australia,Oceania,1997,166132
Mexico,North America,Cyprus,Europe,1997,0
Mexico,North America,China,Asia,1997,0
Mexico,North America,Ivory Coast,Africa,1997,0
Mexico,North America,Iran,Asia,1997,0
Brazil,South America,United States,North America,1997,36548873
Brazil,South America,Canada,North America,1997,125005
Brazil,South America,Mexico,North America,1997,3460082
Brazil,South America,Brazil,South America,1997,0
Brazil,South America,Argentina,South America,1997,6246618
Brazil,South America,United Kingdom,Europe,1997,551226
Brazil,South America,Netherlands,Europe,1997,5792
Brazil,South America,Belgium,Europe,1997,168467
Brazil,South America,France,Europe,1997,428365
Brazil,South America,Switzerland,Europe,1997,265671
Brazil,South America,Spain,Europe,1997,371846
Brazil,South America,Portugal,Europe,1997,677959
Brazil,South America,Germany,Europe,1997,2927304
Brazil,South America,Poland,Europe,1997,247632
Brazil,South America,Austria,Europe,1997,149511
Brazil,South America,Hungary,Europe,1997,17031
Brazil,South America,Czech Republic,Europe,1997,338928
Brazil,South America,Slovakia,Europe,1997,449553
Brazil,South America,Italy,Europe,1997,140224
Brazil,South America,Croatia,Europe,1997,98675
Brazil,South America,Serbia,Europe,1997,0
Brazil,South America,Bosnia,Europe,1997,0
Brazil,South America,Greece,Europe,1997,221822
Brazil,South America,Bulgaria,Europe,1997,0
Brazil,South America,Romania,Europe,1997,0
Brazil,South America,Russia,Asia,1997,13356
Brazil,South America,Ukraine,Europe,1997,0
Brazil,South America,Finland,Europe,1997,50055
Brazil,South America,Sweden,Europe,1997,1676610
Brazil,South America,Norway,Europe,1997,2500737
Brazil,South America,Denmark,Europe,1997,8965
Brazil,South America,South Africa,Africa,1997,2015032
Brazil,South America,Turkey,Asia,1997,110873
Brazil,South America,Iraq,Asia,1997,0
Brazil,South America,Lebanon,Asia,1997,0
Brazil,South America,Israel,Asia,1997,27898
Brazil,South America,Taiwan,Asia,1997,0
Brazil,South America,South Korea,Asia,1997,0
Brazil,South America,Japan,Asia,1997,0
Brazil,South America,India,Asia,1997,0
Brazil,South America,Pakistan,Asia,1997,0
Brazil,South America,Thailand,Asia,1997,1765970
Brazil,South America,Singapore,Asia,1997,10721
Brazil,South America,Philippines,Asia,1997,2159646
Brazil,South America,Indonesia,Asia,1997,2555513
Brazil,South America,Australia,Oceania,1997,1224138
Brazil,South America,Cyprus,Europe,1997,301860
Brazil,South America,China,Asia,1997,0
Brazil,South America,Ivory Coast,Africa,1997,7209
Brazil,South America,Iran,Asia,1997,0
Argentina,South America,United States,North America,1997,3276123
Argentina,South America,Canada,North America,1997,7999
Argentina,South America,Mexico,North America,1997,0
Argentina,South America,Brazil,South America,1997,339338
Argentina,South America,Argentina,South America,1997,0
Argentina,South America,United Kingdom,Europe,1997,48544
Argentina,South America,Netherlands,Europe,1997,0
Argentina,South America,Belgium,Europe,1997,0
Argentina,South America,France,Europe,1997,21346
Argentina,South America,Switzerland,Europe,1997,0
Argentina,South America,Spain,Europe,1997,1097
Argentina,South America,Portugal,Europe,1997,0
Argentina,South America,Germany,Europe,1997,772
Argentina,South America,Poland,Europe,1997,8157
Argentina,South America,Austria,Europe,1997,988
Argentina,South America,Hungary,Europe,1997,0
Argentina,South America,Czech Republic,Europe,1997,33889
Argentina,South America,Slovakia,Europe,1997,1226
Argentina,South America,Italy,Europe,1997,0
Argentina,South America,Croatia,Europe,1997,0
Argentina,South America,Serbia,Europe,1997,0
Argentina,South America,Bosnia,Europe,1997,0
Argentina,South America,Greece,Europe,1997,11117
Argentina,South America,Bulgaria,Europe,1997,0
Argentina,South America,Romania,Europe,1997,0
Argentina,South America,Russia,Asia,1997,0
Argentina,South America,Ukraine,Europe,1997,0
Argentina,South America,Finland,Europe,1997,10441
Argentina,South America,Sweden,Europe,1997,0
Argentina,South America,Norway,Europe,1997,0
Argentina,South America,Denmark,Europe,1997,0
Argentina,South America,South Africa,Africa,1997,91351
Argentina,South America,Turkey,Asia,1997,0
Argentina,South America,Iraq,Asia,1997,0
Argentina,South America,Lebanon,Asia,1997,0
Argentina,South America,Israel,Asia,1997,0
Argentina,South America,Taiwan,Asia,1997,0
Argentina,South America,South Korea,Asia,1997,0
Argentina,South America,Japan,Asia,1997,0
Argentina,South America,India,Asia,1997,0
Argentina,South America,Pakistan,Asia,1997,0
Argentina,South America,Thailand,Asia,1997,0
Argentina,South America,Singapore,Asia,1997,0
Argentina,South America,Philippines,Asia,1997,41395
Argentina,South America,Indonesia,Asia,1997,0
Argentina,South America,Australia,Oceania,1997,0
Argentina,South America,Cyprus,Europe,1997,0
Argentina,South America,China,Asia,1997,0
Argentina,South America,Ivory Coast,Africa,1997,0
Argentina,South America,Iran,Asia,1997,0
United Kingdom,Europe,United States,North America,1997,11893438
United Kingdom,Europe,Canada,North America,1997,644740
United Kingdom,Europe,Mexico,North America,1997,24832
United Kingdom,Europe,Brazil,South America,1997,128514
United Kingdom,Europe,Argentina,South America,1997,13745
United Kingdom,Europe,United Kingdom,Europe,1997,0
United Kingdom,Europe,Netherlands,Europe,1997,1138088
United Kingdom,Europe,Belgium,Europe,1997,1357072
United Kingdom,Europe,France,Europe,1997,1267623
United Kingdom,Europe,Switzerland,Europe,1997,1683892
United Kingdom,Europe,Spain,Europe,1997,400039
United Kingdom,Europe,Portugal,Europe,1997,197351
United Kingdom,Europe,Germany,Europe,1997,2432215
United Kingdom,Europe,Poland,Europe,1997,173178
United Kingdom,Europe,Austria,Europe,1997,400265
United Kingdom,Europe,Hungary,Europe,1997,5104
United Kingdom,Europe,Czech Republic,Europe,1997,157634
United Kingdom,Europe,Slovakia,Europe,1997,39391
United Kingdom,Europe,Italy,Europe,1997,912172
United Kingdom,Europe,Croatia,Europe,1997,0
United Kingdom,Europe,Serbia,Europe,1997,0
United Kingdom,Europe,Bosnia,Europe,1997,0
United Kingdom,Europe,Greece,Europe,1997,102868
United Kingdom,Europe,Bulgaria,Europe,1997,0
United Kingdom,Europe,Romania,Europe,1997,32677
United Kingdom,Europe,Russia,Asia,1997,78102
United Kingdom,Europe,Ukraine,Europe,1997,24260
United Kingdom,Europe,Finland,Europe,1997,1693172
United Kingdom,Europe,Sweden,Europe,1997,810492
United Kingdom,Europe,Norway,Europe,1997,1007672
United Kingdom,Europe,Denmark,Europe,1997,4966973
United Kingdom,Europe,South Africa,Africa,1997,328505
United Kingdom,Europe,Turkey,Asia,1997,2191365
United Kingdom,Europe,Iraq,Asia,1997,0
United Kingdom,Europe,Lebanon,Asia,1997,880792
United Kingdom,Europe,Israel,Asia,1997,73297
United Kingdom,Europe,Taiwan,Asia,1997,52846
United Kingdom,Europe,South Korea,Asia,1997,537557
United Kingdom,Europe,Japan,Asia,1997,1670934
United Kingdom,Europe,India,Asia,1997,171161
United Kingdom,Europe,Pakistan,Asia,1997,565171
United Kingdom,Europe,Thailand,Asia,1997,544920
United Kingdom,Europe,Singapore,Asia,1997,118089
United Kingdom,Europe,Philippines,Asia,1997,438754
United Kingdom,Europe,Indonesia,Asia,1997,1214
United Kingdom,Europe,Australia,Oceania,1997,1270891
United Kingdom,Europe,Cyprus,Europe,1997,102992
United Kingdom,Europe,China,Asia,1997,209592
United Kingdom,Europe,Ivory Coast,Africa,1997,0
United Kingdom,Europe,Iran,Asia,1997,0
Netherlands,Europe,United States,North America,1997,211168
Netherlands,Europe,Canada,North America,1997,85177
Netherlands,Europe,Mexico,North America,1997,0
Netherlands,Europe,Brazil,South America,1997,0
Netherlands,Europe,Argentina,South America,1997,0
Netherlands,Europe,United Kingdom,Europe,1997,6867
Netherlands,Europe,Netherlands,Europe,1997,0
Netherlands,Europe,Belgium,Europe,1997,50353
Netherlands,Europe,France,Europe,1997,46046
