Country1,Continent1,Country2,Continent2,Year,Value
United States,North America,United States,North America,2010,0
United States,North America,Canada,North America,2010,119712306
United States,North America,Mexico,North America,2010,24500852
United States,North America,Brazil,South America,2010,4858491
United States,North America,Argentina,South America,2010,3472105
United States,North America,United Kingdom,Europe,2010,26130559
United States,North America,Netherlands,Europe,2010,791967
United States,North America,Belgium,Europe,2010,12285013
United States,North America,France,Europe,2010,11246712
United States,North America,Switzerland,Europe,2010,1841371
United States,North America,Spain,Europe,2010,19654140
United States,North America,Portugal,Europe,2010,563448
United States,North America,Germany,Europe,2010,21914015
United States,North America,Poland,Europe,2010,1185312
United States,North America,Austria,Europe,2010,1410222
United States,North America,Hungary,Europe,2010,272748
United States,North America,Czech Republic,Europe,2010,1331125
United States,North America,Slovakia,Europe,2010,308841
United States,North America,Italy,Europe,2010,8985023
United States,North America,Croatia,Europe,2010,65263
United States,North America,Serbia,Europe,2010,982074
United States,North America,Bosnia,Europe,2010,1961608
United States,North America,Greece,Europe,2010,1148951
United States,North America,Bulgaria,Europe,2010,334133
United States,North America,Romania,Europe,2010,29209
United States,North America,Russia,Asia,2010,2700833
United States,North America,Ukraine,Europe,2010,878116
United States,North America,Finland,Europe,2010,2257586
United States,North America,Sweden,Europe,2010,3369284
United States,North America,Norway,Europe,2010,4724745
United States,North America,Denmark,Europe,2010,2665079
United States,North America,South Africa,Africa,2010,2894197
United States,North America,Turkey,Asia,2010,1279967
United States,North America,Israel,Asia,2010,42399536
United States,North America,United Arab Emirates,Asia,2010,3691776
United States,North America,Taiwan,Asia,2010,6043941
United States,North America,South Korea,Asia,2010,6026720
United States,North America,Japan,Asia,2010,5884906
United States,North America,India,Asia,2010,705087
United States,North America,Pakistan,Asia,2010,2661048
United States,North America,Thailand,Asia,2010,33160679
United States,North America,Malaysia,Asia,2010,7946556
United States,North America,Singapore,Asia,2010,1897753
United States,North America,Philippines,Asia,2010,7198415
United States,North America,Indonesia,Asia,2010,624881
United States,North America,Australia,Oceania,2010,44328730
United States,North America,Cyprus,Europe,2010,73182
United States,North America,China,Asia,2010,408329
United States,North America,Ivory Coast,Africa,2010,7798
United States,North America,Congo,Africa,2010,498096
Canada,North America,United States,North America,2010,34944565
Canada,North America,Canada,North America,2010,1061572
Canada,North America,Mexico,North America,2010,8688
Canada,North America,Brazil,South America,2010,153122
Canada,North America,Argentina,South America,2010,104969
Canada,North America,United Kingdom,Europe,2010,26415553
Canada,North America,Netherlands,Europe,2010,636524
Canada,North America,Belgium,Europe,2010,1483101
Canada,North America,France,Europe,2010,1314587
Canada,North America,Switzerland,Europe,2010,308332
Canada,North America,Spain,Europe,2010,88557
Canada,North America,Portugal,Europe,2010,13412
Canada,North America,Germany,Europe,2010,836084
Canada,North America,Poland,Europe,2010,133514
Canada,North America,Austria,Europe,2010,347333
Canada,North America,Hungary,Europe,2010,16874
Canada,North America,Czech Republic,Europe,2010,161968
Canada,North America,Slovakia,Europe,2010,9504
Canada,North America,Italy,Europe,2010,311760
Canada,North America,Croatia,Europe,2010,10994
Canada,North America,Serbia,Europe,2010,17243
Canada,North America,Bosnia,Europe,2010,3299
Canada,North America,Greece,Europe,2010,14009
Canada,North America,Bulgaria,Europe,2010,7162
Canada,North America,Romania,Europe,2010,85715
Canada,North America,Russia,Asia,2010,45528
Canada,North America,Ukraine,Europe,2010,7061
Canada,North America,Finland,Europe,2010,16626
Canada,North America,Sweden,Europe,2010,140856
Canada,North America,Norway,Europe,2010,1231264
Canada,North America,Denmark,Europe,2010,6991237
Canada,North America,South Africa,Africa,2010,0
Canada,North America,Turkey,Asia,2010,142404
Canada,North America,Israel,Asia,2010,253991
Canada,North America,United Arab Emirates,Asia,2010,58257
Canada,North America,Taiwan,Asia,2010,56994
Canada,North America,South Korea,Asia,2010,249411
Canada,North America,Japan,Asia,2010,269111
Canada,North America,India,Asia,2010,128956
Canada,North America,Pakistan,Asia,2010,0
Canada,North America,Thailand,Asia,2010,34925
Canada,North America,Malaysia,Asia,2010,0
Canada,North America,Singapore,Asia,2010,323987
Canada,North America,Philippines,Asia,2010,0
Canada,North America,Indonesia,Asia,2010,0
Canada,North America,Australia,Oceania,2010,468213
Canada,North America,Cyprus,Europe,2010,0
Canada,North America,China,Asia,2010,25412
Canada,North America,Ivory Coast,Africa,2010,0
Canada,North America,Congo,Africa,2010,0
Mexico,North America,United States,North America,2010,7040654
