Country1,Continent1,Country2,Continent2,Year,Value
United States,North America,United States,North America,2011,0
United States,North America,Canada,North America,2011,194512480
United States,North America,Mexico,North America,2011,20955146
United States,North America,Brazil,South America,2011,7756270
United States,North America,Argentina,South America,2011,4972774
United States,North America,United Kingdom,Europe,2011,18594703
United States,North America,Netherlands,Europe,2011,753161
United States,North America,Belgium,Europe,2011,14575332
United States,North America,France,Europe,2011,19221664
United States,North America,Switzerland,Europe,2011,2978789
United States,North America,Spain,Europe,2011,10107649
United States,North America,Portugal,Europe,2011,223093
United States,North America,Germany,Europe,2011,19565464
United States,North America,Poland,Europe,2011,2643371
United States,North America,Austria,Europe,2011,2512894
United States,North America,Hungary,Europe,2011,475851
United States,North America,Czech Republic,Europe,2011,2113114
United States,North America,Slovakia,Europe,2011,336928
United States,North America,Italy,Europe,2011,9375960
United States,North America,Croatia,Europe,2011,184400
United States,North America,Serbia,Europe,2011,108248
United States,North America,Bosnia,Europe,2011,211868
United States,North America,Greece,Europe,2011,823564
United States,North America,Bulgaria,Europe,2011,438937
United States,North America,Romania,Europe,2011,145733
United States,North America,Russia,Asia,2011,4174717
United States,North America,Ukraine,Europe,2011,1869194
United States,North America,Finland,Europe,2011,3018213
United States,North America,Sweden,Europe,2011,2384496
United States,North America,Norway,Europe,2011,6717920
United States,North America,Denmark,Europe,2011,6645764
United States,North America,South Africa,Africa,2011,5524060
United States,North America,Turkey,Asia,2011,7674162
United States,North America,Iraq,Asia,2011,14845429
United States,North America,Lebanon,Asia,2011,2361587
United States,North America,Israel,Asia,2011,48383160
United States,North America,Taiwan,Asia,2011,649084
United States,North America,South Korea,Asia,2011,21850202
United States,North America,Japan,Asia,2011,6541987
United States,North America,India,Asia,2011,288492
United States,North America,Pakistan,Asia,2011,1947206
United States,North America,Thailand,Asia,2011,46127231
United States,North America,Singapore,Asia,2011,1613859
United States,North America,Philippines,Asia,2011,13714692
United States,North America,Indonesia,Asia,2011,1363732
United States,North America,Australia,Oceania,2011,89076471
United States,North America,Cyprus,Europe,2011,27329
United States,North America,China,Asia,2011,442351
United States,North America,Ivory Coast,Africa,2011,51596
