Country1,Continent1,Country2,Continent2,Year,Value
United States,North America,United States,North America,2003,0
United States,North America,Canada,North America,2003,37452442
United States,North America,Mexico,North America,2003,3397104
United States,North America,Brazil,South America,2003,1742902
United States,North America,Argentina,South America,2003,1211061
United States,North America,United Kingdom,Europe,2003,12494604
United States,North America,Netherlands,Europe,2003,12204032
United States,North America,Belgium,Europe,2003,7943493
United States,North America,France,Europe,2003,4555693
United States,North America,Switzerland,Europe,2003,1262583
United States,North America,Spain,Europe,2003,3504922
United States,North America,Portugal,Europe,2003,5221921
United States,North America,Germany,Europe,2003,11861748
United States,North America,Poland,Europe,2003,158682
United States,North America,Austria,Europe,2003,529157
United States,North America,Hungary,Europe,2003,237048
United States,North America,Czech Republic,Europe,2003,1129627
United States,North America,Slovakia,Europe,2003,113369
United States,North America,Italy,Europe,2003,10482584
United States,North America,Croatia,Europe,2003,47916
United States,North America,Serbia,Europe,2003,6755
United States,North America,Bosnia,Europe,2003,86465
United States,North America,Greece,Europe,2003,794576
United States,North America,Bulgaria,Europe,2003,416264
United States,North America,Romania,Europe,2003,0
United States,North America,Russia,Asia,2003,175878
United States,North America,Ukraine,Europe,2003,63693
United States,North America,Finland,Europe,2003,1238388
United States,North America,Sweden,Europe,2003,1676421
United States,North America,Norway,Europe,2003,4899096
United States,North America,Denmark,Europe,2003,1922379
United States,North America,South Africa,Africa,2003,1338989
United States,North America,Turkey,Asia,2003,801247
United States,North America,Iraq,Asia,2003,0
United States,North America,Lebanon,Asia,2003,309266
United States,North America,Israel,Asia,2003,15544611
United States,North America,Taiwan,Asia,2003,1360257
United States,North America,South Korea,Asia,2003,2012162
United States,North America,Japan,Asia,2003,8674727
United States,North America,India,Asia,2003,4291
United States,North America,Pakistan,Asia,2003,54894
United States,North America,Thailand,Asia,2003,4449005
United States,North America,Singapore,Asia,2003,1238098
United States,North America,Philippines,Asia,2003,1966336
United States,North America,Indonesia,Asia,2003,70350
United States,North America,Australia,Oceania,2003,29399478
United States,North America,Cyprus,Europe,2003,48424
United States,North America,China,Asia,2003,162739
United States,North America,Ivory Coast,Africa,2003,0
United States,North America,Iran,Asia,2003,0
Canada,North America,United States,North America,2003,44295104
Canada,North America,Canada,North America,2003,207714
Canada,North America,Mexico,North America,2003,172260
Canada,North America,Brazil,South America,2003,411166
Canada,North America,Argentina,South America,2003,1410
Canada,North America,United Kingdom,Europe,2003,311950
Canada,North America,Netherlands,Europe,2003,854976
Canada,North America,Belgium,Europe,2003,3490975
Canada,North America,France,Europe,2003,1080887
Canada,North America,Switzerland,Europe,2003,97052
Canada,North America,Spain,Europe,2003,56699
Canada,North America,Portugal,Europe,2003,175163
Canada,North America,Germany,Europe,2003,392646
Canada,North America,Poland,Europe,2003,42393
Canada,North America,Austria,Europe,2003,7299
Canada,North America,Hungary,Europe,2003,6267
Canada,North America,Czech Republic,Europe,2003,58437
Canada,North America,Slovakia,Europe,2003,1435
Canada,North America,Italy,Europe,2003,376379
Canada,North America,Croatia,Europe,2003,0
Canada,North America,Serbia,Europe,2003,0
Canada,North America,Bosnia,Europe,2003,0
Canada,North America,Greece,Europe,2003,32840
Canada,North America,Bulgaria,Europe,2003,0
Canada,North America,Romania,Europe,2003,20693
Canada,North America,Russia,Asia,2003,164
Canada,North America,Ukraine,Europe,2003,0
Canada,North America,Finland,Europe,2003,14274
Canada,North America,Sweden,Europe,2003,112056
Canada,North America,Norway,Europe,2003,919872
Canada,North America,Denmark,Europe,2003,1241167
Canada,North America,South Africa,Africa,2003,0
Canada,North America,Turkey,Asia,2003,60610
Canada,North America,Iraq,Asia,2003,0
Canada,North America,Lebanon,Asia,2003,0
Canada,North America,Israel,Asia,2003,101044
Canada,North America,Taiwan,Asia,2003,0
Canada,North America,South Korea,Asia,2003,47073
Canada,North America,Japan,Asia,2003,40197
Canada,North America,India,Asia,2003,5604
Canada,North America,Pakistan,Asia,2003,0
Canada,North America,Thailand,Asia,2003,15176
Canada,North America,Singapore,Asia,2003,181287
Canada,North America,Philippines,Asia,2003,81124
Canada,North America,Indonesia,Asia,2003,0
Canada,North America,Australia,Oceania,2003,220748
Canada,North America,Cyprus,Europe,2003,0
Canada,North America,China,Asia,2003,1637
Canada,North America,Ivory Coast,Africa,2003,0
Canada,North America,Iran,Asia,2003,0
Mexico,North America,United States,North America,2003,2166682
Mexico,North America,Canada,North America,2003,23713
Mexico,North America,Mexico,North America,2003,0
Mexico,North America,Brazil,South America,2003,0
Mexico,North America,Argentina,South America,2003,0
Mexico,North America,United Kingdom,Europe,2003,0
Mexico,North America,Netherlands,Europe,2003,0
Mexico,North America,Belgium,Europe,2003,0
Mexico,North America,France,Europe,2003,0
Mexico,North America,Switzerland,Europe,2003,0
Mexico,North America,Spain,Europe,2003,1091
Mexico,North America,Portugal,Europe,2003,0
Mexico,North America,Germany,Europe,2003,143525
Mexico,North America,Poland,Europe,2003,0
Mexico,North America,Austria,Europe,2003,0
Mexico,North America,Hungary,Europe,2003,0
Mexico,North America,Czech Republic,Europe,2003,8539
Mexico,North America,Slovakia,Europe,2003,5700
Mexico,North America,Italy,Europe,2003,0
Mexico,North America,Croatia,Europe,2003,0
Mexico,North America,Serbia,Europe,2003,0
Mexico,North America,Bosnia,Europe,2003,0
Mexico,North America,Greece,Europe,2003,0
Mexico,North America,Bulgaria,Europe,2003,0
Mexico,North America,Romania,Europe,2003,0
Mexico,North America,Russia,Asia,2003,0
Mexico,North America,Ukraine,Europe,2003,0
Mexico,North America,Finland,Europe,2003,1837
Mexico,North America,Sweden,Europe,2003,0
Mexico,North America,Norway,Europe,2003,0
Mexico,North America,Denmark,Europe,2003,0
Mexico,North America,South Africa,Africa,2003,0
Mexico,North America,Turkey,Asia,2003,0
Mexico,North America,Iraq,Asia,2003,0
Mexico,North America,Lebanon,Asia,2003,0
Mexico,North America,Israel,Asia,2003,0
Mexico,North America,Taiwan,Asia,2003,0
Mexico,North America,South Korea,Asia,2003,0
Mexico,North America,Japan,Asia,2003,0
Mexico,North America,India,Asia,2003,0
Mexico,North America,Pakistan,Asia,2003,0
Mexico,North America,Thailand,Asia,2003,0
Mexico,North America,Singapore,Asia,2003,0
Mexico,North America,Philippines,Asia,2003,0
Mexico,North America,Indonesia,Asia,2003,0
Mexico,North America,Australia,Oceania,2003,0
Mexico,North America,Cyprus,Europe,2003,0
Mexico,North America,China,Asia,2003,0
Mexico,North America,Ivory Coast,Africa,2003,0
Mexico,North America,Iran,Asia,2003,0
Brazil,South America,United States,North America,2003,56133263
Brazil,South America,Canada,North America,2003,339633
Brazil,South America,Mexico,North America,2003,267551
Brazil,South America,Brazil,South America,2003,0
Brazil,South America,Argentina,South America,2003,3763917
Brazil,South America,United Kingdom,Europe,2003,1321045
Brazil,South America,Netherlands,Europe,2003,364033
Brazil,South America,Belgium,Europe,2003,1164557
Brazil,South America,France,Europe,2003,380317
Brazil,South America,Switzerland,Europe,2003,550035
Brazil,South America,Spain,Europe,2003,974803
Brazil,South America,Portugal,Europe,2003,265155
Brazil,South America,Germany,Europe,2003,4405676
Brazil,South America,Poland,Europe,2003,0
Brazil,South America,Austria,Europe,2003,11890
Brazil,South America,Hungary,Europe,2003,0
Brazil,South America,Czech Republic,Europe,2003,47756
Brazil,South America,Slovakia,Europe,2003,28763
Brazil,South America,Italy,Europe,2003,184751
Brazil,South America,Croatia,Europe,2003,0
Brazil,South America,Serbia,Europe,2003,0
Brazil,South America,Bosnia,Europe,2003,0
Brazil,South America,Greece,Europe,2003,27808
Brazil,South America,Bulgaria,Europe,2003,0
Brazil,South America,Romania,Europe,2003,0
Brazil,South America,Russia,Asia,2003,7102
Brazil,South America,Ukraine,Europe,2003,0
Brazil,South America,Finland,Europe,2003,218055
Brazil,South America,Sweden,Europe,2003,3710
Brazil,South America,Norway,Europe,2003,553377
Brazil,South America,Denmark,Europe,2003,0
Brazil,South America,South Africa,Africa,2003,407800
Brazil,South America,Turkey,Asia,2003,1989
Brazil,South America,Iraq,Asia,2003,0
Brazil,South America,Lebanon,Asia,2003,123069
Brazil,South America,Israel,Asia,2003,86521
Brazil,South America,Taiwan,Asia,2003,0
Brazil,South America,South Korea,Asia,2003,0
Brazil,South America,Japan,Asia,2003,0
Brazil,South America,India,Asia,2003,10805
Brazil,South America,Pakistan,Asia,2003,10374
Brazil,South America,Thailand,Asia,2003,440910
Brazil,South America,Singapore,Asia,2003,2363193
Brazil,South America,Philippines,Asia,2003,723574
Brazil,South America,Indonesia,Asia,2003,1525617
Brazil,South America,Australia,Oceania,2003,398618
Brazil,South America,Cyprus,Europe,2003,807
Brazil,South America,China,Asia,2003,0
Brazil,South America,Ivory Coast,Africa,2003,0
Brazil,South America,Iran,Asia,2003,0
Argentina,South America,United States,North America,2003,5858890
Argentina,South America,Canada,North America,2003,14621
Argentina,South America,Mexico,North America,2003,0
Argentina,South America,Brazil,South America,2003,0
Argentina,South America,Argentina,South America,2003,0
Argentina,South America,United Kingdom,Europe,2003,0
Argentina,South America,Netherlands,Europe,2003,0
Argentina,South America,Belgium,Europe,2003,0
Argentina,South America,France,Europe,2003,0
Argentina,South America,Switzerland,Europe,2003,3829
Argentina,South America,Spain,Europe,2003,68348
Argentina,South America,Portugal,Europe,2003,0
Argentina,South America,Germany,Europe,2003,0
Argentina,South America,Poland,Europe,2003,0
Argentina,South America,Austria,Europe,2003,0
Argentina,South America,Hungary,Europe,2003,0
Argentina,South America,Czech Republic,Europe,2003,6665
Argentina,South America,Slovakia,Europe,2003,0
Argentina,South America,Italy,Europe,2003,0
Argentina,South America,Croatia,Europe,2003,0
Argentina,South America,Serbia,Europe,2003,0
Argentina,South America,Bosnia,Europe,2003,0
Argentina,South America,Greece,Europe,2003,0
Argentina,South America,Bulgaria,Europe,2003,0
Argentina,South America,Romania,Europe,2003,0
Argentina,South America,Russia,Asia,2003,0
Argentina,South America,Ukraine,Europe,2003,0
Argentina,South America,Finland,Europe,2003,0
Argentina,South America,Sweden,Europe,2003,0
Argentina,South America,Norway,Europe,2003,0
Argentina,South America,Denmark,Europe,2003,0
Argentina,South America,South Africa,Africa,2003,0
Argentina,South America,Turkey,Asia,2003,0
Argentina,South America,Iraq,Asia,2003,0
Argentina,South America,Lebanon,Asia,2003,0
Argentina,South America,Israel,Asia,2003,0
Argentina,South America,Taiwan,Asia,2003,0
Argentina,South America,South Korea,Asia,2003,0
Argentina,South America,Japan,Asia,2003,0
Argentina,South America,India,Asia,2003,0
Argentina,South America,Pakistan,Asia,2003,0
Argentina,South America,Thailand,Asia,2003,0
Argentina,South America,Singapore,Asia,2003,0
Argentina,South America,Philippines,Asia,2003,110017
Argentina,South America,Indonesia,Asia,2003,0
Argentina,South America,Australia,Oceania,2003,0
Argentina,South America,Cyprus,Europe,2003,0
Argentina,South America,China,Asia,2003,0
Argentina,South America,Ivory Coast,Africa,2003,0
Argentina,South America,Iran,Asia,2003,0
United Kingdom,Europe,United States,North America,2003,10896612
United Kingdom,Europe,Canada,North America,2003,1148048
United Kingdom,Europe,Mexico,North America,2003,5243
United Kingdom,Europe,Brazil,South America,2003,168819
