Country1,Continent1,Country2,Continent2,Year,Value
United States,North America,United States,North America,1996,0
United States,North America,Canada,North America,1996,45209750
United States,North America,Mexico,North America,1996,4034090
United States,North America,Brazil,South America,1996,3401988
United States,North America,Argentina,South America,1996,4884097
United States,North America,United Kingdom,Europe,1996,8002547
United States,North America,Netherlands,Europe,1996,1552126
United States,North America,Belgium,Europe,1996,19866763
United States,North America,France,Europe,1996,6270861
United States,North America,Switzerland,Europe,1996,6504257
United States,North America,Spain,Europe,1996,29793882
United States,North America,Portugal,Europe,1996,2182318
United States,North America,Germany,Europe,1996,26124988
United States,North America,Poland,Europe,1996,300733
United States,North America,Austria,Europe,1996,2486961
United States,North America,Hungary,Europe,1996,176488
United States,North America,Czech Republic,Europe,1996,1171673
United States,North America,Slovakia,Europe,1996,45432
United States,North America,Italy,Europe,1996,5675168
United States,North America,Croatia,Europe,1996,5454
United States,North America,Serbia,Europe,1996,0
United States,North America,Bosnia,Europe,1996,461802
United States,North America,Greece,Europe,1996,2844805
United States,North America,Bulgaria,Europe,1996,181451
United States,North America,Romania,Europe,1996,113415
United States,North America,Russia,Asia,1996,356109
United States,North America,Ukraine,Europe,1996,471527
United States,North America,Finland,Europe,1996,2810419
United States,North America,Sweden,Europe,1996,2014026
United States,North America,Norway,Europe,1996,6531217
United States,North America,Denmark,Europe,1996,2176649
United States,North America,South Africa,Africa,1996,4324373
United States,North America,Turkey,Asia,1996,7137346
United States,North America,Israel,Asia,1996,7970639
United States,North America,United Arab Emirates,Asia,1996,86211
United States,North America,Taiwan,Asia,1996,19571734
United States,North America,South Korea,Asia,1996,4496827
United States,North America,Japan,Asia,1996,7958807
United States,North America,India,Asia,1996,5636
United States,North America,Pakistan,Asia,1996,631131
United States,North America,Thailand,Asia,1996,36342039
United States,North America,Malaysia,Asia,1996,499147
United States,North America,Singapore,Asia,1996,1348294
United States,North America,Philippines,Asia,1996,3560334
United States,North America,Indonesia,Asia,1996,35710
United States,North America,Australia,Oceania,1996,23011810
United States,North America,Cyprus,Europe,1996,40532
United States,North America,China,Asia,1996,30134
United States,North America,Ivory Coast,Africa,1996,11321
United States,North America,Congo,Africa,1996,6635
Canada,North America,United States,North America,1996,15709857
Canada,North America,Canada,North America,1996,0
Canada,North America,Mexico,North America,1996,0
Canada,North America,Brazil,South America,1996,37373
Canada,North America,Argentina,South America,1996,68013
Canada,North America,United Kingdom,Europe,1996,7628145
Canada,North America,Netherlands,Europe,1996,7766020
Canada,North America,Belgium,Europe,1996,942800
Canada,North America,France,Europe,1996,1142468
Canada,North America,Switzerland,Europe,1996,287835
Canada,North America,Spain,Europe,1996,78886
Canada,North America,Portugal,Europe,1996,22294
Canada,North America,Germany,Europe,1996,867893
Canada,North America,Poland,Europe,1996,0
Canada,North America,Austria,Europe,1996,136121
Canada,North America,Hungary,Europe,1996,0
Canada,North America,Czech Republic,Europe,1996,31357
Canada,North America,Slovakia,Europe,1996,3987
Canada,North America,Italy,Europe,1996,178508
Canada,North America,Croatia,Europe,1996,0
Canada,North America,Serbia,Europe,1996,0
Canada,North America,Bosnia,Europe,1996,0
Canada,North America,Greece,Europe,1996,21257
