Country1,Continent1,Country2,Continent2,Year,Value
United States,North America,United States,North America,1998,0
United States,North America,Canada,North America,1998,43799803
United States,North America,Mexico,North America,1998,6301473
United States,North America,Brazil,South America,1998,10910448
United States,North America,Argentina,South America,1998,4660194
United States,North America,United Kingdom,Europe,1998,8245937
United States,North America,Netherlands,Europe,1998,1579831
United States,North America,Belgium,Europe,1998,17427676
United States,North America,France,Europe,1998,6923930
United States,North America,Switzerland,Europe,1998,4430762
United States,North America,Spain,Europe,1998,3532522
United States,North America,Portugal,Europe,1998,1249817
United States,North America,Germany,Europe,1998,22896106
United States,North America,Poland,Europe,1998,221865
United States,North America,Austria,Europe,1998,918443
United States,North America,Hungary,Europe,1998,315616
United States,North America,Czech Republic,Europe,1998,745391
United States,North America,Slovakia,Europe,1998,91292
United States,North America,Italy,Europe,1998,3614172
United States,North America,Croatia,Europe,1998,7155
United States,North America,Serbia,Europe,1998,0
United States,North America,Bosnia,Europe,1998,0
United States,North America,Greece,Europe,1998,2008324
United States,North America,Bulgaria,Europe,1998,128045
United States,North America,Romania,Europe,1998,27824
United States,North America,Russia,Asia,1998,371930
United States,North America,Ukraine,Europe,1998,224138
United States,North America,Finland,Europe,1998,736864
United States,North America,Sweden,Europe,1998,2555072
United States,North America,Norway,Europe,1998,3201803
United States,North America,Denmark,Europe,1998,2074558
United States,North America,South Africa,Africa,1998,9493802
United States,North America,Turkey,Asia,1998,4809146
United States,North America,Iraq,Asia,1998,0
United States,North America,Lebanon,Asia,1998,3464966
United States,North America,Israel,Asia,1998,24006528
United States,North America,Taiwan,Asia,1998,5134950
United States,North America,South Korea,Asia,1998,1595024
United States,North America,Japan,Asia,1998,2690200
United States,North America,India,Asia,1998,831799
United States,North America,Pakistan,Asia,1998,53603
United States,North America,Thailand,Asia,1998,8908182
United States,North America,Singapore,Asia,1998,1118554
United States,North America,Philippines,Asia,1998,6417979
United States,North America,Indonesia,Asia,1998,62217
United States,North America,Australia,Oceania,1998,13532651
United States,North America,Cyprus,Europe,1998,65592
United States,North America,China,Asia,1998,79432
United States,North America,Ivory Coast,Africa,1998,0
United States,North America,Iran,Asia,1998,0
Canada,North America,United States,North America,1998,23136425
Canada,North America,Canada,North America,1998,0
Canada,North America,Mexico,North America,1998,1203489
Canada,North America,Brazil,South America,1998,1340542
Canada,North America,Argentina,South America,1998,170790
Canada,North America,United Kingdom,Europe,1998,858515
Canada,North America,Netherlands,Europe,1998,1836812
Canada,North America,Belgium,Europe,1998,105834
Canada,North America,France,Europe,1998,1375076
Canada,North America,Switzerland,Europe,1998,866558
Canada,North America,Spain,Europe,1998,42126
Canada,North America,Portugal,Europe,1998,50484
Canada,North America,Germany,Europe,1998,827490
Canada,North America,Poland,Europe,1998,5568
Canada,North America,Austria,Europe,1998,7399
Canada,North America,Hungary,Europe,1998,31927
Canada,North America,Czech Republic,Europe,1998,50694
Canada,North America,Slovakia,Europe,1998,4356
Canada,North America,Italy,Europe,1998,373141
Canada,North America,Croatia,Europe,1998,1283
Canada,North America,Serbia,Europe,1998,0
Canada,North America,Bosnia,Europe,1998,0
Canada,North America,Greece,Europe,1998,14571
Canada,North America,Bulgaria,Europe,1998,0
Canada,North America,Romania,Europe,1998,0
Canada,North America,Russia,Asia,1998,0
Canada,North America,Ukraine,Europe,1998,0
Canada,North America,Finland,Europe,1998,55995
Canada,North America,Sweden,Europe,1998,41224
Canada,North America,Norway,Europe,1998,593736
Canada,North America,Denmark,Europe,1998,5673145
Canada,North America,South Africa,Africa,1998,13112
Canada,North America,Turkey,Asia,1998,0
Canada,North America,Iraq,Asia,1998,0
Canada,North America,Lebanon,Asia,1998,18207
Canada,North America,Israel,Asia,1998,16417
Canada,North America,Taiwan,Asia,1998,0
Canada,North America,South Korea,Asia,1998,0
Canada,North America,Japan,Asia,1998,14693
Canada,North America,India,Asia,1998,21926
Canada,North America,Pakistan,Asia,1998,0
Canada,North America,Thailand,Asia,1998,108906
Canada,North America,Singapore,Asia,1998,110709
Canada,North America,Philippines,Asia,1998,1270
Canada,North America,Indonesia,Asia,1998,0
Canada,North America,Australia,Oceania,1998,853714
Canada,North America,Cyprus,Europe,1998,794
Canada,North America,China,Asia,1998,146229
Canada,North America,Ivory Coast,Africa,1998,0
Canada,North America,Iran,Asia,1998,0
Mexico,North America,United States,North America,1998,6474014
Mexico,North America,Canada,North America,1998,37738
Mexico,North America,Mexico,North America,1998,0
Mexico,North America,Brazil,South America,1998,0
Mexico,North America,Argentina,South America,1998,668037
Mexico,North America,United Kingdom,Europe,1998,14122
Mexico,North America,Netherlands,Europe,1998,0
Mexico,North America,Belgium,Europe,1998,221001
Mexico,North America,France,Europe,1998,463241
Mexico,North America,Switzerland,Europe,1998,0
Mexico,North America,Spain,Europe,1998,404910
Mexico,North America,Portugal,Europe,1998,0
Mexico,North America,Germany,Europe,1998,166563
Mexico,North America,Poland,Europe,1998,0
Mexico,North America,Austria,Europe,1998,226495
Mexico,North America,Hungary,Europe,1998,0
Mexico,North America,Czech Republic,Europe,1998,140790
Mexico,North America,Slovakia,Europe,1998,0
Mexico,North America,Italy,Europe,1998,0
Mexico,North America,Croatia,Europe,1998,0
Mexico,North America,Serbia,Europe,1998,0
Mexico,North America,Bosnia,Europe,1998,0
Mexico,North America,Greece,Europe,1998,0
Mexico,North America,Bulgaria,Europe,1998,0
Mexico,North America,Romania,Europe,1998,0
Mexico,North America,Russia,Asia,1998,0
Mexico,North America,Ukraine,Europe,1998,0
Mexico,North America,Finland,Europe,1998,0
Mexico,North America,Sweden,Europe,1998,0
Mexico,North America,Norway,Europe,1998,0
Mexico,North America,Denmark,Europe,1998,0
Mexico,North America,South Africa,Africa,1998,0
Mexico,North America,Turkey,Asia,1998,0
Mexico,North America,Iraq,Asia,1998,0
Mexico,North America,Lebanon,Asia,1998,0
Mexico,North America,Israel,Asia,1998,0
Mexico,North America,Taiwan,Asia,1998,0
Mexico,North America,South Korea,Asia,1998,0
Mexico,North America,Japan,Asia,1998,0
Mexico,North America,India,Asia,1998,0
Mexico,North America,Pakistan,Asia,1998,0
Mexico,North America,Thailand,Asia,1998,0
Mexico,North America,Singapore,Asia,1998,0
Mexico,North America,Philippines,Asia,1998,0
Mexico,North America,Indonesia,Asia,1998,0
Mexico,North America,Australia,Oceania,1998,0
Mexico,North America,Cyprus,Europe,1998,0
Mexico,North America,China,Asia,1998,85184
Mexico,North America,Ivory Coast,Africa,1998,0
Mexico,North America,Iran,Asia,1998,0
Brazil,South America,United States,North America,1998,37300212
Brazil,South America,Canada,North America,1998,44131
Brazil,South America,Mexico,North America,1998,630101
Brazil,South America,Brazil,South America,1998,0
Brazil,South America,Argentina,South America,1998,6163791
Brazil,South America,United Kingdom,Europe,1998,516715
Brazil,South America,Netherlands,Europe,1998,156029
Brazil,South America,Belgium,Europe,1998,3736652
Brazil,South America,France,Europe,1998,196845
Brazil,South America,Switzerland,Europe,1998,543351
Brazil,South America,Spain,Europe,1998,100832
Brazil,South America,Portugal,Europe,1998,243781
Brazil,South America,Germany,Europe,1998,3198002
Brazil,South America,Poland,Europe,1998,76263
Brazil,South America,Austria,Europe,1998,19109
Brazil,South America,Hungary,Europe,1998,5298
Brazil,South America,Czech Republic,Europe,1998,179917
