Country1,Continent1,Country2,Continent2,Year,Value
United States,North America,United States,North America,1995,0
United States,North America,Canada,North America,1995,61183521
United States,North America,Mexico,North America,1995,5017025
United States,North America,Brazil,South America,1995,1742867
United States,North America,Argentina,South America,1995,2193665
United States,North America,United Kingdom,Europe,1995,9788601
United States,North America,Netherlands,Europe,1995,5847828
United States,North America,Belgium,Europe,1995,15357252
United States,North America,France,Europe,1995,12565523
United States,North America,Switzerland,Europe,1995,2454209
United States,North America,Spain,Europe,1995,10183009
United States,North America,Portugal,Europe,1995,4557069
United States,North America,Germany,Europe,1995,30424153
United States,North America,Poland,Europe,1995,243654
United States,North America,Austria,Europe,1995,2420956
United States,North America,Hungary,Europe,1995,506632
United States,North America,Czech Republic,Europe,1995,487583
United States,North America,Slovakia,Europe,1995,189786
United States,North America,Italy,Europe,1995,8631824
United States,North America,Croatia,Europe,1995,0
United States,North America,Serbia,Europe,1995,0
United States,North America,Bosnia,Europe,1995,0
United States,North America,Greece,Europe,1995,22890695
United States,North America,Bulgaria,Europe,1995,284224
United States,North America,Romania,Europe,1995,5556
United States,North America,Russia,Asia,1995,554082
United States,North America,Ukraine,Europe,1995,70189
United States,North America,Finland,Europe,1995,2572600
United States,North America,Sweden,Europe,1995,1293926
United States,North America,Norway,Europe,1995,4150253
United States,North America,Denmark,Europe,1995,2935968
United States,North America,South Africa,Africa,1995,2416198
United States,North America,Turkey,Asia,1995,9276346
United States,North America,Iraq,Asia,1995,0
United States,North America,Lebanon,Asia,1995,1314811
United States,North America,Israel,Asia,1995,4747784
United States,North America,Taiwan,Asia,1995,24250714
United States,North America,South Korea,Asia,1995,2622454
United States,North America,Japan,Asia,1995,3386905
United States,North America,India,Asia,1995,170502
United States,North America,Pakistan,Asia,1995,394120
United States,North America,Thailand,Asia,1995,32838053
United States,North America,Singapore,Asia,1995,750825
United States,North America,Philippines,Asia,1995,4742039
United States,North America,Indonesia,Asia,1995,2074921
United States,North America,Australia,Oceania,1995,20675599
United States,North America,Cyprus,Europe,1995,66316
United States,North America,China,Asia,1995,13521
United States,North America,Ivory Coast,Africa,1995,139321
United States,North America,Iran,Asia,1995,0
Canada,North America,United States,North America,1995,20814480
Canada,North America,Canada,North America,1995,0
Canada,North America,Mexico,North America,1995,0
Canada,North America,Brazil,South America,1995,0
Canada,North America,Argentina,South America,1995,86812
Canada,North America,United Kingdom,Europe,1995,472362
Canada,North America,Netherlands,Europe,1995,2063343
Canada,North America,Belgium,Europe,1995,59227
Canada,North America,France,Europe,1995,381296
Canada,North America,Switzerland,Europe,1995,380046
Canada,North America,Spain,Europe,1995,50275
Canada,North America,Portugal,Europe,1995,48976
Canada,North America,Germany,Europe,1995,1410798
Canada,North America,Poland,Europe,1995,0
Canada,North America,Austria,Europe,1995,210132
Canada,North America,Hungary,Europe,1995,0
Canada,North America,Czech Republic,Europe,1995,45388
Canada,North America,Slovakia,Europe,1995,0
Canada,North America,Italy,Europe,1995,293775
Canada,North America,Croatia,Europe,1995,0
Canada,North America,Serbia,Europe,1995,0
Canada,North America,Bosnia,Europe,1995,0
Canada,North America,Greece,Europe,1995,34148
Canada,North America,Bulgaria,Europe,1995,85348
Canada,North America,Romania,Europe,1995,0
Canada,North America,Russia,Asia,1995,16872
Canada,North America,Ukraine,Europe,1995,23145
Canada,North America,Finland,Europe,1995,91668
Canada,North America,Sweden,Europe,1995,44054
Canada,North America,Norway,Europe,1995,1767326
Canada,North America,Denmark,Europe,1995,4545384
Canada,North America,South Africa,Africa,1995,94034
Canada,North America,Turkey,Asia,1995,18321
Canada,North America,Iraq,Asia,1995,0
Canada,North America,Lebanon,Asia,1995,116028
Canada,North America,Israel,Asia,1995,30578
Canada,North America,Taiwan,Asia,1995,0
Canada,North America,South Korea,Asia,1995,0
Canada,North America,Japan,Asia,1995,10360
Canada,North America,India,Asia,1995,9262
Canada,North America,Pakistan,Asia,1995,0
Canada,North America,Thailand,Asia,1995,52032
Canada,North America,Singapore,Asia,1995,92191
Canada,North America,Philippines,Asia,1995,92804
Canada,North America,Indonesia,Asia,1995,0
Canada,North America,Australia,Oceania,1995,246391
Canada,North America,Cyprus,Europe,1995,1882
Canada,North America,China,Asia,1995,43210
Canada,North America,Ivory Coast,Africa,1995,0
Canada,North America,Iran,Asia,1995,0
Mexico,North America,United States,North America,1995,1495948
Mexico,North America,Canada,North America,1995,0
Mexico,North America,Mexico,North America,1995,0
Mexico,North America,Brazil,South America,1995,0
Mexico,North America,Argentina,South America,1995,451700
Mexico,North America,United Kingdom,Europe,1995,0
Mexico,North America,Netherlands,Europe,1995,0
Mexico,North America,Belgium,Europe,1995,0
Mexico,North America,France,Europe,1995,192743
Mexico,North America,Switzerland,Europe,1995,0
Mexico,North America,Spain,Europe,1995,198842
Mexico,North America,Portugal,Europe,1995,0
Mexico,North America,Germany,Europe,1995,123630
Mexico,North America,Poland,Europe,1995,0
Mexico,North America,Austria,Europe,1995,619329
Mexico,North America,Hungary,Europe,1995,0
Mexico,North America,Czech Republic,Europe,1995,0
Mexico,North America,Slovakia,Europe,1995,0
Mexico,North America,Italy,Europe,1995,0
Mexico,North America,Croatia,Europe,1995,0
Mexico,North America,Serbia,Europe,1995,0
Mexico,North America,Bosnia,Europe,1995,0
Mexico,North America,Greece,Europe,1995,0
Mexico,North America,Bulgaria,Europe,1995,0
Mexico,North America,Romania,Europe,1995,0
Mexico,North America,Russia,Asia,1995,0
Mexico,North America,Ukraine,Europe,1995,0
Mexico,North America,Finland,Europe,1995,412529
Mexico,North America,Sweden,Europe,1995,0
Mexico,North America,Norway,Europe,1995,0
Mexico,North America,Denmark,Europe,1995,0
Mexico,North America,South Africa,Africa,1995,0
Mexico,North America,Turkey,Asia,1995,0
Mexico,North America,Iraq,Asia,1995,0
Mexico,North America,Lebanon,Asia,1995,0
Mexico,North America,Israel,Asia,1995,0
Mexico,North America,Taiwan,Asia,1995,0
Mexico,North America,South Korea,Asia,1995,0
Mexico,North America,Japan,Asia,1995,0
Mexico,North America,India,Asia,1995,0
Mexico,North America,Pakistan,Asia,1995,0
Mexico,North America,Thailand,Asia,1995,0
Mexico,North America,Singapore,Asia,1995,0
Mexico,North America,Philippines,Asia,1995,0
Mexico,North America,Indonesia,Asia,1995,0
Mexico,North America,Australia,Oceania,1995,0
Mexico,North America,Cyprus,Europe,1995,0
Mexico,North America,China,Asia,1995,0
Mexico,North America,Ivory Coast,Africa,1995,0
Mexico,North America,Iran,Asia,1995,0
Brazil,South America,United States,North America,1995,50470527
Brazil,South America,Canada,North America,1995,371592
Brazil,South America,Mexico,North America,1995,0
Brazil,South America,Brazil,South America,1995,0
Brazil,South America,Argentina,South America,1995,2399578
Brazil,South America,United Kingdom,Europe,1995,800023
Brazil,South America,Netherlands,Europe,1995,151858
Brazil,South America,Belgium,Europe,1995,949736
Brazil,South America,France,Europe,1995,1380692
Brazil,South America,Switzerland,Europe,1995,667654
Brazil,South America,Spain,Europe,1995,551140
Brazil,South America,Portugal,Europe,1995,717152
Brazil,South America,Germany,Europe,1995,4754056
Brazil,South America,Poland,Europe,1995,28340
Brazil,South America,Austria,Europe,1995,297933
Brazil,South America,Hungary,Europe,1995,4743676
Brazil,South America,Czech Republic,Europe,1995,3736
Brazil,South America,Slovakia,Europe,1995,113565
Brazil,South America,Italy,Europe,1995,56026
Brazil,South America,Croatia,Europe,1995,73034
Brazil,South America,Serbia,Europe,1995,0
Brazil,South America,Bosnia,Europe,1995,0
Brazil,South America,Greece,Europe,1995,988290
Brazil,South America,Bulgaria,Europe,1995,16876
Brazil,South America,Romania,Europe,1995,0
Brazil,South America,Russia,Asia,1995,50610
Brazil,South America,Ukraine,Europe,1995,0
Brazil,South America,Finland,Europe,1995,277089
Brazil,South America,Sweden,Europe,1995,88346
Brazil,South America,Norway,Europe,1995,1087201
Brazil,South America,Denmark,Europe,1995,38580
Brazil,South America,South Africa,Africa,1995,2366022
Brazil,South America,Turkey,Asia,1995,535492
Brazil,South America,Iraq,Asia,1995,0
Brazil,South America,Lebanon,Asia,1995,78491
Brazil,South America,Israel,Asia,1995,87127
Brazil,South America,Taiwan,Asia,1995,0
Brazil,South America,South Korea,Asia,1995,0
Brazil,South America,Japan,Asia,1995,0
Brazil,South America,India,Asia,1995,0
Brazil,South America,Pakistan,Asia,1995,21911
Brazil,South America,Thailand,Asia,1995,3069706
Brazil,South America,Singapore,Asia,1995,449561
Brazil,South America,Philippines,Asia,1995,406170
Brazil,South America,Indonesia,Asia,1995,46277
Brazil,South America,Australia,Oceania,1995,399035
Brazil,South America,Cyprus,Europe,1995,34162
Brazil,South America,China,Asia,1995,0
Brazil,South America,Ivory Coast,Africa,1995,0
Brazil,South America,Iran,Asia,1995,0
Argentina,South America,United States,North America,1995,2217162
Argentina,South America,Canada,North America,1995,243995
Argentina,South America,Mexico,North America,1995,0
Argentina,South America,Brazil,South America,1995,1001042
Argentina,South America,Argentina,South America,1995,0
Argentina,South America,United Kingdom,Europe,1995,0
Argentina,South America,Netherlands,Europe,1995,0
Argentina,South America,Belgium,Europe,1995,0
Argentina,South America,France,Europe,1995,27877
Argentina,South America,Switzerland,Europe,1995,0
Argentina,South America,Spain,Europe,1995,80915
Argentina,South America,Portugal,Europe,1995,0
Argentina,South America,Germany,Europe,1995,1389
Argentina,South America,Poland,Europe,1995,8666
Argentina,South America,Austria,Europe,1995,27653
Argentina,South America,Hungary,Europe,1995,0
Argentina,South America,Czech Republic,Europe,1995,0
Argentina,South America,Slovakia,Europe,1995,0
Argentina,South America,Italy,Europe,1995,0
Argentina,South America,Croatia,Europe,1995,0
Argentina,South America,Serbia,Europe,1995,0
Argentina,South America,Bosnia,Europe,1995,0
Argentina,South America,Greece,Europe,1995,28387
Argentina,South America,Bulgaria,Europe,1995,0
Argentina,South America,Romania,Europe,1995,0
Argentina,South America,Russia,Asia,1995,0
Argentina,South America,Ukraine,Europe,1995,0
Argentina,South America,Finland,Europe,1995,77442
Argentina,South America,Sweden,Europe,1995,0
Argentina,South America,Norway,Europe,1995,0
Argentina,South America,Denmark,Europe,1995,0
Argentina,South America,South Africa,Africa,1995,166699
Argentina,South America,Turkey,Asia,1995,13056
Argentina,South America,Iraq,Asia,1995,0
Argentina,South America,Lebanon,Asia,1995,0
Argentina,South America,Israel,Asia,1995,69455
Argentina,South America,Taiwan,Asia,1995,0
Argentina,South America,South Korea,Asia,1995,0
Argentina,South America,Japan,Asia,1995,0
Argentina,South America,India,Asia,1995,0
Argentina,South America,Pakistan,Asia,1995,0
Argentina,South America,Thailand,Asia,1995,0
Argentina,South America,Singapore,Asia,1995,0
Argentina,South America,Philippines,Asia,1995,0
Argentina,South America,Indonesia,Asia,1995,0
Argentina,South America,Australia,Oceania,1995,0
Argentina,South America,Cyprus,Europe,1995,0
Argentina,South America,China,Asia,1995,0
Argentina,South America,Ivory Coast,Africa,1995,0
Argentina,South America,Iran,Asia,1995,0
United Kingdom,Europe,United States,North America,1995,7776963
United Kingdom,Europe,Canada,North America,1995,763858
United Kingdom,Europe,Mexico,North America,1995,350179
United Kingdom,Europe,Brazil,South America,1995,199649
United Kingdom,Europe,Argentina,South America,1995,0
United Kingdom,Europe,United Kingdom,Europe,1995,0
United Kingdom,Europe,Netherlands,Europe,1995,1106125
United Kingdom,Europe,Belgium,Europe,1995,1127904
United Kingdom,Europe,France,Europe,1995,1700631
United Kingdom,Europe,Switzerland,Europe,1995,3012228
United Kingdom,Europe,Spain,Europe,1995,263099
United Kingdom,Europe,Portugal,Europe,1995,275353
United Kingdom,Europe,Germany,Europe,1995,3747058
United Kingdom,Europe,Poland,Europe,1995,560839
United Kingdom,Europe,Austria,Europe,1995,803102
United Kingdom,Europe,Hungary,Europe,1995,0
United Kingdom,Europe,Czech Republic,Europe,1995,256858
United Kingdom,Europe,Slovakia,Europe,1995,63829
United Kingdom,Europe,Italy,Europe,1995,615011
United Kingdom,Europe,Croatia,Europe,1995,0
United Kingdom,Europe,Serbia,Europe,1995,0
United Kingdom,Europe,Bosnia,Europe,1995,0
United Kingdom,Europe,Greece,Europe,1995,518943
United Kingdom,Europe,Bulgaria,Europe,1995,0
United Kingdom,Europe,Romania,Europe,1995,8807
United Kingdom,Europe,Russia,Asia,1995,28890
United Kingdom,Europe,Ukraine,Europe,1995,5042
United Kingdom,Europe,Finland,Europe,1995,1094900
United Kingdom,Europe,Sweden,Europe,1995,208212
United Kingdom,Europe,Norway,Europe,1995,952617
United Kingdom,Europe,Denmark,Europe,1995,3427432
United Kingdom,Europe,South Africa,Africa,1995,269120
United Kingdom,Europe,Turkey,Asia,1995,3374904
United Kingdom,Europe,Iraq,Asia,1995,0
United Kingdom,Europe,Lebanon,Asia,1995,95129
United Kingdom,Europe,Israel,Asia,1995,28404
United Kingdom,Europe,Taiwan,Asia,1995,162937
United Kingdom,Europe,South Korea,Asia,1995,873430
United Kingdom,Europe,Japan,Asia,1995,1585115
United Kingdom,Europe,India,Asia,1995,162318
United Kingdom,Europe,Pakistan,Asia,1995,28072
United Kingdom,Europe,Thailand,Asia,1995,12622185
United Kingdom,Europe,Singapore,Asia,1995,105600
United Kingdom,Europe,Philippines,Asia,1995,103556
United Kingdom,Europe,Indonesia,Asia,1995,293628
United Kingdom,Europe,Australia,Oceania,1995,692925
United Kingdom,Europe,Cyprus,Europe,1995,562645
